Year;Month;Quarter;CPI (2015 = 100);Derived CPI (2015 = 100);Year-on-year change CPI (%);Year-on-year change Derived CPI (%)
2022;1;1;114,53;113,64;6,4;7,4
2022;2;1;115,27;114,37;6,2;7,1
2022;3;1;119,46;118,49;9,7;10,7
2022;4;2;119,81;119,21;9,6;10,9
2022;5;2;119,05;118,46;8,8;10,1
2022;6;2;119,05;118,47;8,6;9,9
2022;7;3;121,57;121,88;10,3;12,4
2022;8;3;123,95;124,45;12;14,3
2022;9;3;126,89;127,63;14,5;17,2
2022;10;4;128,25;128,98;14,3;16,9
2022;11;4;124,35;124,77;9,9;12,1
2022;12;4;124,94;125,34;9,6;11,8
2023;1;1;123,21;122,28;7,6;7,6
2023;2;1;124,45;123,53;8;8
2023;3;1;124,72;123,82;4,4;4,5
2023;4;2;126,01;125,12;5,2;5
2023;5;2;126,26;125,37;6,1;5,8
2023;6;2;125,83;124,88;5,7;5,4
2023;7;3;127,13;125,85;4,6;3,3
2023;8;3;127,7;126,38;3;1,6
2023;9;3;127,16;125,85;0,2;-1,4
2023;10;4;127,73;126,42;-0,4;-2
2023;11;4;126,4;125,08;1,6;0,2
