Year;Month;Total (special) primary education;Total secondary general education;Secondary  general education;Secondary vocational education (MBO);Higher professional education;University education
2019;9;1432,181;950461;950461;503011;463330;306888
2019;10;1432,181;950461;950461;503011;463330;306888
2019;11;1432,181;950461;950461;503011;463330;306888
2019;12;1432,181;950461;950461;503011;463330;306888
2020;1;1432,181;950461;950461;503011;463330;306888
2020;2;1432,181;950461;950461;503011;463330;306888
2020;3;1432,181;950461;950461;503011;463330;306888
2020;4;1432,181;950461;950461;503011;463330;306888
2020;5;1432,181;950461;950461;503011;463330;306888
2020;6;1432,181;950461;950461;503011;463330;306888
2020;7;1432,181;950461;950461;503011;463330;306888
2020;8;1421,78;934228;934228;508764;489262;331419
2020;9;1421,78;934228;934228;508764;489262;331419
2020;10;1421,78;934228;934228;508764;489262;331419
2020;11;1421,78;934228;934228;508764;489262;331419
2020;12;1421,78;934228;934228;508764;489262;331419
2021;1;1421,78;934228;934228;508764;489262;331419
2021;2;1421,78;934228;934228;508764;489262;331419
2021;3;1421,78;934228;934228;508764;489262;331419
2021;4;1421,78;934228;934228;508764;489262;331419
2021;5;1421,78;934228;934228;508764;489262;331419
2021;6;1421,78;934228;934228;508764;489262;331419
2021;7;1421,78;934228;934228;508764;489262;331419
2021;8;1406,277;929565;929565;502270;491442;344627
2021;9;1406,277;929565;929565;502270;491442;344627
2021;10;1406,277;929565;929565;502270;491442;344627
2021;11;1406,277;929565;929565;502270;491442;344627
2021;12;1406,277;929565;929565;502270;491442;344627
2022;1;1406,277;929565;929565;502270;491442;344627
2022;2;1406,277;929565;929565;502270;491442;344627
2022;3;1406,277;929565;929565;502270;491442;344627
2022;4;1406,277;929565;929565;502270;491442;344627
2022;5;1406,277;929565;929565;502270;491442;344627
2022;6;1406,277;929565;929565;502270;491442;344627
2022;7;1406,277;929565;929565;502270;491442;344627
2022;8;1402,119;936579;936579;484207;476877;344247
2022;9;1402,119;936579;936579;484207;476877;344247
2022;10;1402,119;936579;936579;484207;476877;344247
2022;11;1402,119;936579;936579;484207;476877;344247
2022;12;1402,119;936579;936579;484207;476877;344247
2023;1;1402,119;936579;936579;484207;476877;344247
2023;2;1402,119;936579;936579;484207;476877;344247
2023;3;1402,119;936579;936579;484207;476877;344247
2023;4;1402,119;936579;936579;484207;476877;344247
2023;5;1402,119;936579;936579;484207;476877;344247
2023;6;1402,119;936579;936579;484207;476877;344247
2023;7;1402,119;936579;936579;484207;476877;344247
